dim,name,name_zh,group,group_name,source_type,description
0,major_pol,排序力,A,基本空間權重,star_law,紫微・尊・秩序與位階的能量
1,major_hpi,運算力,A,基本空間權重,star_law,天機・善・計算與推演的能量
2,major_sun,作用力,A,基本空間權重,star_law,太陽・貴・照耀與施予的能量
3,major_mar,兌換力,A,基本空間權重,star_law,武曲・財・交換與果斷的能量
4,major_har,分享力,A,基本空間權重,star_law,天同・福・和諧與共享的能量
5,major_mag,掌控力,A,基本空間權重,star_law,廉貞・囚・掌握與治理的能量
6,major_tre,承載力,A,基本空間權重,star_law,天府・令・容納、調度的能量
7,major_moo,涵養力,A,基本空間權重,star_law,太陰・富・滋養與積累的能量
8,major_awo,擴張力,A,基本空間權重,star_law,貪狼・桃花・吸引與交際的能量
9,major_gga,分界力,A,基本空間權重,star_law,巨門・暗・試煉與質疑的能量
10,major_min,授權力,A,基本空間權重,star_law,天相・印・認證與委託的能量
11,major_ble,接續力,A,基本空間權重,star_law,天梁・蔭・保護與成全的能量
12,major_van,行動力,A,基本空間權重,star_law,七殺・權・執行與突破的能量
13,major_bre,重生力,A,基本空間權重,star_law,破軍・破・重塑與開拓的能量
14,support_lha,左輔輔佐,A,基本空間權重,support_star,左輔會照命宮強度
15,support_rha,右弼輔佐,A,基本空間權重,support_star,右弼會照命宮強度
16,support_cpa,天魁貴人,A,基本空間權重,support_star,天魁會照命宮強度
17,support_cai,天鉞貴人,A,基本空間權重,support_star,天鉞會照命宮強度
18,support_aac,文昌才華,A,基本空間權重,support_star,文昌會照命宮強度
19,support_aar,文曲才華,A,基本空間權重,support_star,文曲會照命宮強度
20,support_div,祿存財庫,A,基本空間權重,support_star,祿存位置與強度
21,support_hho,天馬行走,A,基本空間權重,support_star,天馬位置與強度
22,brake_gla,擎羊刑剋,A,基本空間權重,brake_star,擎羊在關鍵宮位的強度
23,brake_sto,陀羅糾結,A,基本空間權重,brake_star,陀羅在關鍵宮位的強度
24,brake_fsp,火星爆發,A,基本空間權重,brake_star,火星在關鍵宮位的強度
25,brake_chi,鈴星深沉,A,基本空間權重,brake_star,鈴星在關鍵宮位的強度
26,void_evo,地空,A,基本空間權重,void_star,地空在關鍵宮位的強度
27,void_mae,地劫,A,基本空間權重,void_star,地劫在關鍵宮位的強度
28,void_int,截空,A,基本空間權重,void_star,截空在關鍵宮位的強度
29,e_interpersonal_glm,小星人際_天姚,A,基本空間權重,minor_star,人際星 天姚 空間加權
30,e_interpersonal_hjo,小星人際_天喜,A,基本空間權重,minor_star,人際星 天喜 空間加權
31,e_interpersonal_rph,小星人際_紅鸞,A,基本空間權重,minor_star,人際星 紅鸞 空間加權
32,e_noble_pod,小星貴人_台輔,A,基本空間權重,minor_star,貴人星 台輔 空間加權
33,e_noble_ofc,小星貴人_天官,A,基本空間權重,minor_star,貴人星 天官 空間加權
34,e_noble_nob,小星貴人_天貴,A,基本空間權重,minor_star,貴人星 天貴 空間加權
35,e_noble_prv,小星貴人_天德,A,基本空間權重,minor_star,貴人星 天德 空間加權
36,e_conflict_ppo,小星是非_咸池,A,基本空間權重,minor_star,是非星 咸池 空間加權
37,e_conflict_gos,小星是非_蜚廉,A,基本空間權重,minor_star,是非星 蜚廉 空間加權
38,e_spiritual_shm,小星靈性_天巫,A,基本空間權重,minor_star,靈性星 天巫 空間加權
39,e_spiritual_eca,小星靈性_華蓋,A,基本空間權重,minor_star,靈性星 華蓋 空間加權
40,e_spiritual_voi,小星靈性_天虛,A,基本空間權重,minor_star,靈性星 天虛 空間加權
41,e_spiritual_wee,小星靈性_天哭,A,基本空間權重,minor_star,靈性星 天哭 空間加權
42,e_spiritual_wid,小星靈性_寡宿,A,基本空間權重,minor_star,靈性星 寡宿 空間加權
43,e_talent_dra,小星才華_龍池,A,基本空間權重,minor_star,才華星 龍池 空間加權
44,e_talent_pho,小星才華_鳳閣,A,基本空間權重,minor_star,才華星 鳳閣 空間加權
45,e_talent_gen,小星才華_天才,A,基本空間權重,minor_star,才華星 天才 空間加權
46,e_auspicious_edi,小星吉_封誥,A,基本空間權重,minor_star,吉星 封誥 空間加權
47,e_auspicious_fea,小星吉_天福,A,基本空間權重,minor_star,吉星 天福 空間加權
48,e_auspicious_res,小星吉_解神,A,基本空間權重,minor_star,吉星 解神 空間加權
49,e_auspicious_lon,小星吉_天壽,A,基本空間權重,minor_star,吉星 天壽 空間加權
50,e_auspicious_3pl,小星吉_三台,A,基本空間權重,minor_star,吉星 三台 空間加權
51,e_auspicious_8st,小星吉_八座,A,基本空間權重,minor_star,吉星 八座 空間加權
52,e_auspicious_gra,小星吉_恩光,A,基本空間權重,minor_star,吉星 恩光 空間加權
53,e_inauspicious_sha,小星兇_陰煞,A,基本空間權重,minor_star,兇星 陰煞 空間加權
54,e_inauspicious_dis,小星兇_天刑,A,基本空間權重,minor_star,兇星 天刑 空間加權
55,e_inauspicious_lnr,小星兇_孤辰,A,基本空間權重,minor_star,兇星 孤辰 空間加權
56,e_inauspicious_sht,小星兇_破碎,A,基本空間權重,minor_star,兇星 破碎 空間加權
57,e_inauspicious_mdr,小星兇_大耗,A,基本空間權重,minor_star,兇星 大耗 空間加權
58,e_inauspicious_rob,小星兇_劫殺,A,基本空間權重,minor_star,兇星 劫殺 空間加權
59,e_inauspicious_ail,小星兇_天月,A,基本空間權重,minor_star,兇星 天月 空間加權
60,e_inauspicious_hia,小星兇_旬空,A,基本空間權重,minor_star,兇星 旬空 空間加權
61,e_general_cmd,小星將_將星,A,基本空間權重,minor_star,將星系 將星 空間加權
62,e_general_std,小星將_攀鞍,A,基本空間權重,minor_star,將星系 攀鞍 空間加權
63,e_general_yho,小星將_歲驛,A,基本空間權重,minor_star,將星系 歲驛 空間加權
64,e_general_rst,小星將_息神,A,基本空間權重,minor_star,將星系 息神 空間加權
65,e_general_csh,小星將_災煞,A,基本空間權重,minor_star,將星系 災煞 空間加權
66,e_general_sla,小星將_指背,A,基本空間權重,minor_star,將星系 指背 空間加權
67,e_general_lsa,小星將_月煞,A,基本空間權重,minor_star,將星系 月煞 空間加權
68,e_general_vdn,小星將_亡神,A,基本空間權重,minor_star,將星系 亡神 空間加權
69,e_annual_jup,小星歲_歲建,A,基本空間權重,minor_star,歲星系 歲建 空間加權
70,e_annual_glo,小星歲_晦氣,A,基本空間權重,minor_star,歲星系 晦氣 空間加權
71,e_annual_mgt,小星歲_喪門,A,基本空間權重,minor_star,歲星系 喪門 空間加權
72,e_annual_shk,小星歲_貫索,A,基本空間權重,minor_star,歲星系 貫索 空間加權
73,e_annual_sdr,小星歲_小耗,A,基本空間權重,minor_star,歲星系 小耗 空間加權
74,e_annual_dvi,小星歲_龍德,A,基本空間權重,minor_star,歲星系 龍德 空間加權
75,e_annual_wti,小星歲_白虎,A,基本空間權重,minor_star,歲星系 白虎 空間加權
76,e_annual_cgu,小星歲_吊客,A,基本空間權重,minor_star,歲星系 吊客 空間加權
77,e_annual_sch,小星歲_病符,A,基本空間權重,minor_star,歲星系 病符 空間加權
78,decade_dgl,大羊,A,基本空間權重,flow_star,大限：大羊
79,decade_dst,大陀,A,基本空間權重,flow_star,大限：大陀
80,decade_dcp,大魁,A,基本空間權重,flow_star,大限：大魁
81,decade_dca,大鉞,A,基本空間權重,flow_star,大限：大鉞
82,decade_ddi,大祿,A,基本空間權重,flow_star,大限：大祿
83,decade_dhh,大馬,A,基本空間權重,flow_star,大限：大馬
84,decade_drp,大鸞,A,基本空間權重,flow_star,大限：大鸞
85,decade_dhj,大喜,A,基本空間權重,flow_star,大限：大喜
86,small_sgl,小羊,A,基本空間權重,flow_star,小限：小羊
87,small_sst,小陀,A,基本空間權重,flow_star,小限：小陀
88,small_scp,小魁,A,基本空間權重,flow_star,小限：小魁
89,small_sca,小鉞,A,基本空間權重,flow_star,小限：小鉞
90,small_sdi,小祿,A,基本空間權重,flow_star,小限：小祿
91,small_shh,小馬,A,基本空間權重,flow_star,小限：小馬
92,small_srp,小鸞,A,基本空間權重,flow_star,小限：小鸞
93,small_shj,小喜,A,基本空間權重,flow_star,小限：小喜
94,year_ygl,年羊,A,基本空間權重,flow_star,流年：年羊
95,year_yst,年陀,A,基本空間權重,flow_star,流年：年陀
96,year_ycp,年魁,A,基本空間權重,flow_star,流年：年魁
97,year_yca,年鉞,A,基本空間權重,flow_star,流年：年鉞
98,year_ydi,年祿,A,基本空間權重,flow_star,流年：年祿
99,year_yhh,年馬,A,基本空間權重,flow_star,流年：年馬
100,year_yrp,年鸞,A,基本空間權重,flow_star,流年：年鸞
101,year_yhj,年喜,A,基本空間權重,flow_star,流年：年喜
102,self_identity,核心自我,B,複合維度抽取,palace_propagated,命宮(1)空間傳播後信號強度
103,sibling_investment,手足親情,B,複合維度抽取,palace_propagated,兄弟宮(2)空間傳播後信號強度
104,partnership_investment,伴侶關係,B,複合維度抽取,palace_propagated,夫妻宮(3)空間傳播後信號強度
105,offspring_investment,子嗣傳承,B,複合維度抽取,palace_propagated,子女宮(4)空間傳播後信號強度
106,wealth_investment,現金財富,B,複合維度抽取,palace_propagated,財帛宮(5)空間傳播後信號強度
107,health_vitality,身體健康,B,複合維度抽取,palace_propagated,疾厄宮(6)空間傳播後信號強度
108,external_expression,外在展現,B,複合維度抽取,palace_propagated,遷移宮(7)空間傳播後信號強度
109,social_investment,朋友社交,B,複合維度抽取,palace_propagated,交友宮(8)空間傳播後信號強度
110,career_investment,事業投入,B,複合維度抽取,palace_propagated,官祿宮(9)空間傳播後信號強度
111,asset_investment,田宅資產,B,複合維度抽取,palace_propagated,田宅宮(A)空間傳播後信號強度
112,spiritual_pursuit,精神追求,B,複合維度抽取,palace_propagated,福德宮(B)空間傳播後信號強度
113,parental_inheritance,父母關係,B,複合維度抽取,palace_propagated,父母宮(C)空間傳播後信號強度
114,body_palace_signal,身宮指標,B,複合維度抽取,palace_axis,身宮對應宮位的傳播信號
115,inner_outer_friction,性格內外關係,B,複合維度抽取,palace_axis,命宮與遷移宮的張力平衡度
116,ideal_reality_friction,財富思維關係,B,複合維度抽取,palace_axis,財帛宮與福德宮的張力平衡度
117,career_family_friction,事業夫妻關係,B,複合維度抽取,palace_axis,官祿宮與夫妻宮的張力平衡度
118,hereditary_health_friction,遺傳健康關係,B,複合維度抽取,palace_axis,父母宮與疾厄宮的張力平衡度
119,sibling_social_friction,親朋好友關係,B,複合維度抽取,palace_axis,兄弟宮與交友宮的張力平衡度
120,offspring_asset_friction,子女家庭關係,B,複合維度抽取,palace_axis,子女宮與田宅宮的張力平衡度
121,sihua_fo_signal,祿宮位信號,B,複合維度抽取,sihua_context,祿落宮的空間傳播後信號強度
122,sihua_pw_signal,權宮位信號,B,複合維度抽取,sihua_context,權落宮的空間傳播後信號強度
123,sihua_ho_signal,科宮位信號,B,複合維度抽取,sihua_context,科落宮的空間傳播後信號強度
124,sihua_bi_signal,忌宮位信號,B,複合維度抽取,sihua_context,忌落宮的空間傳播後信號強度
125,sihua_fo_factor,祿宮位因子,B,複合維度抽取,sihua_context,祿宮位距命宮空間因子
126,sihua_pw_factor,權宮位因子,B,複合維度抽取,sihua_context,權宮位距命宮空間因子
127,sihua_ho_factor,科宮位因子,B,複合維度抽取,sihua_context,科宮位距命宮空間因子
128,sihua_bi_factor,忌宮位因子,B,複合維度抽取,sihua_context,忌宮位距命宮空間因子
129,ming_sihua_modifier,命宮四化修正,B,複合維度抽取,sihua_context,命宮四化對全盤的乘性修正
130,body_sihua_modifier,身宮四化修正,B,複合維度抽取,sihua_context,身宮四化對全盤的修正
131,debt_palace_factor,忌欠宮位因子,B,複合維度抽取,debt_effect,化忌對宮(忌欠宮)距命宮因子
132,debt_palace_signal,忌欠宮位信號,B,複合維度抽取,debt_effect,忌欠宮經過空間傳播後的總活躍度
133,sihua_fo_palace_code,化祿宮位編碼,B,複合維度抽取,debt_effect,化祿落宮的宮位編碼(正規化至0-1)
134,sihua_pw_palace_code,化權宮位編碼,B,複合維度抽取,debt_effect,化權落宮的宮位編碼(正規化至0-1)
135,sihua_ho_palace_code,化科宮位編碼,B,複合維度抽取,debt_effect,化科落宮的宮位編碼(正規化至0-1)
136,sihua_bi_palace_code,化忌宮位編碼,B,複合維度抽取,debt_effect,化忌落宮的宮位編碼(正規化至0-1)
137,debt_palace_code,忌欠宮位編碼,B,複合維度抽取,debt_effect,化忌對宮(忌欠宮)的宮位編碼(正規化至0-1)
138,dark_lu_effect,暗祿效應,B,複合維度抽取,debt_effect,化祿暗合宮(暗祿)內最強主星權重
139,ming_dark_signal,命宮暗合宮信號,B,複合維度抽取,dark_harmony,命宮暗合宮信號
