episode_key,source_folder,article_title,proposed_slug,tags,podcast_url,article_publish_at,author_id,category_code,cover_url,status
EP03,EP03_豬隊友,吵架前先對量表：神隊友有五個等級，你老公在第幾級？,podcast-ep03,夫妻分工、神隊友、育兒、心智負荷、職場媽媽,,,,,,draft
EP04,EP04_幼兒園概論,參訪幼稚園請約下午四點以後：老手媽媽兩週看六七間的實戰心得,podcast-ep04,幼兒園、選學校、親師合作、兒童發展、育兒,,,,,,draft
EP06,EP06_過年,婆家對妳很好，妳為什麼還是想哭：過年這件事的兩層帳,podcast-ep06,過年、婆家、婚姻、隔代教養、親子,,,,,,draft
EP07,EP07_獨生子女,獨生子女的獨白：被問了一輩子孤單，我只認一個缺點——而且不在童年,podcast-ep07,獨生子女、生育決策、手足、親子溝通、育兒,,,,,,draft
EP08,EP08_唸書與玩樂,我們為了打電動而唸書，而且唸到前五名：唸書與玩樂不是零和,podcast-ep08,學習動機、時間管理、教養約定、休閒、青少年,,,,,,draft
EP12,EP12_安全依附,安全感的匯率：崩壞用一個月，重建花兩年半,podcast-ep12,安全依附、親子溝通、原生家庭、好書伴讀、育兒,,,,,,draft
EP14,EP14_一歲陪玩,我們拿 ChatGPT 的陪玩清單去對一本德國教養書，結果最有用的那一段不是 AI 給的,podcast-ep14,玩具極簡、一歲陪玩、感覺統合、戶外遊戲、AI 育兒,,,,,,draft
EP15,EP15_育兒廢品,育兒十大廢品：但我們聊到最後發現，這其實是一集消費哲學,podcast-ep15,育兒用品、消費決策、恩典牌、揹巾、生活自理,,,,,,draft
EP18,EP18_夏季對策,防曬、防蚊、熱疹、降溫：夏天帶娃四條戰線，我們繞一圈都回到長袖長褲,podcast-ep18,夏季育兒、防曬、防蚊、熱疹、降溫,,,,,,draft
EP19,EP19_豬狗嫌,豬狗嫌的二三歲：他不是變壞，是能力升級到一半卡住了,podcast-ep19,兩歲三歲、兒童情緒、教養界線、自主決策、育兒,,,,,,draft
EP22,EP22_病毒碼更新,一年就醫 68 次換來的家戶防疫 SOP：小孩感冒，但爸媽不要跟著倒,podcast-ep22,家戶防疫、生病照護、口罩、家庭治理、育兒,,,,,,draft
EP23,EP23_十個為什麼,小孩的十個為什麼：我們發現真正的收穫不是答案，是三個原則,podcast-ep23,親子溝通、十萬個為什麼、價值觀、繪本共讀、育兒,,,,,,draft
EP26,EP26_媽媽包,等餐不掏平板：媽媽包裡真正有用的東西，跟你以為的不一樣,podcast-ep26,媽媽包、3C育兒、外出、收納、心智負荷,,,,,,draft
EP28,EP28_牙齒照護,從刷牙戰爭到二次矯正：牙齒這件事，我們都做錯過,podcast-ep28,刷牙、牙齒矯正、繪本、生活自理、育兒,,,,,,draft
EP29,EP29_教育部廣告,一支廣告同時得罪了想生跟已生的人：問題攤開了，解方卻只有補助,podcast-ep29,生育政策、育兒友善、職場、身教、社會議題,,,,,,draft
EP30,EP30_跨年特集,跨年特集：寫了二十年新年目標、拖了三十年的一句拒絕，還有一份聽眾數據,podcast-ep30,新年目標、人際界線、青少年、內容經營、年度回顧,,,,,,draft
EP31,EP31_紓壓百法,職場媽媽紓壓百法：先搞懂什麼叫紓壓，你的選單才會有東西,podcast-ep31,紓壓、自我照顧、職場媽媽、時間管理、進修,,,,,,draft
EP65,EP65_管得緊放得開,管得緊 vs 放得開：夫妻尺度不同，其實有三招可以解,podcast-ep65,夫妻教養、溝通、放手、舒適圈、育兒,,,,,,draft
EP72,EP72_理想中的父母,理想中的父母：我們各自寫下想成為的樣子，結果發現那都不是靠決心,podcast-ep72,親子溝通、情緒管理、價值感、母乳、身教,,,,,,draft
EP77,EP77_慢吞吞星人,慢吞吞星人降落我家：催了三十年，速度還是一樣,podcast-ep77,慢吞吞、催促、出門SOP、高敏感兒、時間感,,,,,,draft
EP79,EP79_目標達成與五年日記,回頭一看，快十年過去了：被拖掉的那些事，全在同一格,podcast-ep79,拖延、目標管理、五年日記、時間管理、好書伴讀,,,,,,draft
EP80,EP80_中年危機,我在圖書館排到第 3645 號：原來我經歷的叫中年危機,podcast-ep80,中年危機、焦慮、好書伴讀、自我照顧、斷捨離,,,,,,draft
EP83,EP83_青春期陪伴,兩個台大畢業的父母，養出一個打棒球的兒子跟一個念表演藝術的女兒,podcast-ep83,青春期、興趣培養、課題分離、信任、來賓訪談,,,,,,draft
EP84,EP84_斷捨離,過年大掃除：全家都討厭的事，我們把它切成一週半天,podcast-ep84,斷捨離、大掃除、收納、消費習慣、家事分工,,,,,,draft
EP85,EP85_夫妻金錢觀,夫妻吵錢，吵的其實不是錢：安全感、自主性、自我價值,podcast-ep85,夫妻理財、分帳、金錢觀、安全感、婚姻溝通,,,,,,draft
EP86,EP86_原地重生大法,原地重生大法：職場爸媽不能離家出走，只有三分鐘可以用,podcast-ep86,情緒管理、紓壓、理智線、夫妻分工、育兒日常,,,,,,draft
EP88,EP88_財務顧問,一個理財小白，為了搞清楚買不買得起房，最後去付錢找了財務顧問,podcast-ep88,財務規劃、記帳、預算、買房、AI 應用,,,,,,draft
EP90,EP90_甩肉增肌,200 天、沒有健身房也沒有瘦瘦針：四十歲小基數媽媽的增肌減脂紀錄,podcast-ep90,增肌減脂、蛋白質、居家運動、AI 應用、四十歲,,,,,,draft
EP91,EP91_育兒的犧牲感,育兒的犧牲感：壓垮你的不是大事，是那盤沒人吃的菜,podcast-ep91,犧牲感、隱形勞務、夫妻分工、期待管理、自我照顧,,,,,,draft
EP94,EP94_孩子人際界線,孩子人際的界線：他說「我願意送他」，但他知道可以不送嗎,podcast-ep94,人際界線、拒絕、霸凌、交友、親子溝通,,,,,,draft
EP95,EP95_盯功課,盯功課盯到快中風：我是低血壓的人，但我曾經氣到頭暈,podcast-ep95,陪寫功課、注音、數學、AI 應用、親子衝突,,,,,,draft
MINI01,MINI01_阿貼與實習生,實習生不會開冷氣、不會點蚊香，還不知道一公斤等於一千克,podcast-mini01,世代差異、常識、帶新人、生活經驗、職場,,,,,,draft
MINI02,MINI02_一歲幼兒遊大溪,一天一個點就好——帶一歲寶寶的兩天一夜，反而什麼都有,podcast-mini02,職場媽媽崩潰啥、親子旅遊、一歲、行程規劃、大溪、育兒,,,,,,draft
MINI03,MINI03_偽裝成受害者的霸凌者,先哭的人，先取得了同情——那年那位偽裝成受害者的實習生,podcast-mini03,職場媽媽崩潰啥、霸凌、實習生、教養、人際界線、校園,,,,,,draft
MINI04,MINI04_左撇子的職場歧視,被痛罵『你怎麼可以把實驗交給一個左撇子』之後，她做的第一件事不是反駁,podcast-mini04,職場媽媽崩潰啥、歧視、左撇子、教養、職場、驗證,,,,,,draft
MINI05,MINI05_一歲幼兒遊嘉義,帶一歲半走五六小時國道：真正的變數不是玩具，是出發時間,podcast-mini05,職場媽媽崩潰啥、親子旅遊、長途車程、一歲半、嘉義、育兒,,,,,,draft
MINI06,MINI06_沒人想咪兔,一扇門的距離——以及為什麼「掙脫」這件事，講不會，只能練,podcast-mini06,職場媽媽崩潰啥、身體自主、性騷擾、教養、防身、界線,,,,,,draft
MINI07,MINI07_新竹兩天一夜,一個景點配一間飯店——這趟兩天一夜，媽媽真的有放到假,podcast-mini07,職場媽媽崩潰啥、親子旅遊、定點旅遊、親子飯店、新竹、育兒,,,,,,draft
MINI08,MINI08_實習生3,新人哪有不淹實驗室：但會忘記的事，只能靠流程,podcast-mini08,帶新人、流程、犯錯、道歉、職場,,,,,,draft
MINI09,MINI09_台北市立動物園,動物園的入口，決定了你今天走不走得完,podcast-mini09,職場媽媽崩潰啥、親子旅遊、動物園、行程規劃、台北、育兒,,,,,,draft
MINI10,MINI10_大人也有陪睡的需求,原來大人也需要陪睡——我爬到小孩床上就睡著了,podcast-mini10,職場媽媽崩潰啥、陪睡、失眠、自我照顧、夫妻、育兒,,,,,,draft
MINI11,MINI11_繪本系列之五味太郎,同一本繪本讀了一年，其實是在量他的成長,podcast-mini11,職場媽媽崩潰啥、繪本、親子共讀、五味太郎、圖書館、育兒,,,,,,draft
MINI12,MINI12_奇葩同事,「你不行，我就可以嗎」——那年那兩位奇葩同事教我們的事,podcast-mini12,職場媽媽崩潰啥、人際界線、職場、教養、溝通、面試,,,,,,draft
MINI13,MINI13_帶兩歲兒去淨灘,我的吸管有丟垃圾桶，為什麼還是會流到海裡,podcast-mini13,職場媽媽崩潰啥、淨灘、環保、教養、垃圾減量、親子活動,,,,,,draft
MINI14,MINI14_那些年遇到的實習生,他把我的文獻檔名全改成饒舌歌手——而他的辯解，其實站得住,podcast-mini14,帶新人、職場、溝通、界線、世代差異,,,,,,draft
MINI15,MINI15_紫森林螢火蟲浴,有螢火蟲，又沒有蚊子——這件事本身就是答案,podcast-mini15,職場媽媽崩潰啥、親子旅遊、螢火蟲、生態、休閒農場、選宿,,,,,,draft
MINI16,MINI16_假閨蜜小一就有,她背了三個月的書包，跌倒的時候對方在笑,podcast-mini16,職場媽媽崩潰啥、小一新生、人際界線、教養、拒絕、校園,,,,,,draft
MINI17,MINI17_小企鵝繪本,給小小孩的繪本，寫實其實比可愛更有用,podcast-mini17,職場媽媽崩潰啥、繪本、親子共讀、工藤紀子、幼兒、交通工具,,,,,,draft
